end,y,delta,delta_window,c_max_fa,c_max_re,c_max_fo,c_max,c_w_max,c_min_fa,c_min_re,c_min_fo,c_min,c_w_min,c_avg,c_w_avg,fa_avg,re_avg,fo_avg,c_med,c_big_c,c_big_fa,c_big_re,c_big_fo,c_small_c,c_small_fa,c_small_re,c_small_fo,fa_big_c,re_big_c,fo_big_c,c_max_fa_window,c_max_re_window,c_max_fo_window,c_max_window,c_w_max_window,c_min_fa_window,c_min_re_window,c_min_fo_window,c_min_window,c_w_min_window,c_avg_window,c_w_avg_window,fa_avg_window,re_avg_window,fo_avg_window,c_med_window,c_big_c_window,c_big_fa_window,c_big_re_window,c_big_fo_window,c_small_c_window,c_small_fa_window,c_small_re_window,c_small_fo_window,fa_big_c_window,re_big_c_window,fo_big_c_window
03011010,-9.9,-15.6,-36.7,0,0,86,0.9403,0.0,0,22,2373,-0.128,-0.5883502142766933,0.5102333333333333,0.610136708165517,0.3333333333333333,7.333333333333333,3798472.6666666665,0.7184,0.7184,1.0,0.0,11392959.0,-0.128,0.0,22.0,2373.0,2.4187603387732444,-0.5883502142766933,2.4187603387732444,2,1,330,0.9406,1.8443353502442517,323,112,41486071,-0.5267,-11.556535641963487,0.3910666666666667,-0.280861630234264,28.916666666666668,11.75,4407018.666666667,0.5492999999999999,0.6894,4.75,0.5,2848384.0,-0.188,81.25,34.75,10372144.25,-1.717252170992908,-2.5815051660841686,-2.165192434218987
03011020,4.3,-9.9,-25.5,0,1,564,0.9406,0.7792392538546913,0,0,27,0.0056,0.0,0.6350399999999999,1.5219465090453534,0.4,1.6,2282871.0,0.765,0.8271,1.0,0.0,11392959.0,0.0056,0.0,0.0,27.0,2.7847392486071127,2.759393512744994,2.7847392486071127,0,1,564,0.9406,0.7792392538546913,0,22,2373,-0.128,-0.5883502142766933,0.55693,1.1173636935185538,0.7,3.2,2281017.2,0.7417,0.7701666666666668,0.6666666666666666,2.0,7601487.0,-0.06653333333333333,0.6666666666666666,7.666666666666667,823.0,1.506077838023111,1.3384595495708507,2.654297700041784
03011030,31.2,4.3,-5.7,0,1,717,0.6369,0.5475933273021675,0,0,11392959,-0.4767,-0.0,0.10443333333333334,0.24219244034081086,0.3333333333333333,0.3333333333333333,3797985.6666666665,0.1531,0.6369,0.0,1.0,717.0,-0.4767,0.0,0.0,11392959.0,0.17898399372026505,0.5475933273021675,0.0,0,1,564,0.9406,0.7792392538546913,0,0,11392959,-0.4767,-0.0,0.4562909090909091,0.9242472718859773,0.36363636363636365,2.8181818181818183,3109430.0,0.6369,0.7701666666666668,0.6666666666666666,2.0,7601487.0,-0.1997,0.0,7.333333333333333,3798453.0,2.163286705800109,1.152467942829423,1.734499862460119
03011040,0.0,31.2,35.5,0,0,112,0.6908,0.0,2,1,258,-0.5423,-1.0183918017706362,0.19274,-0.10060400116755026,0.8,0.4,468.8,0.3818,0.5106,2.0,0.0,41.0,-0.5423,2.0,1.0,258.0,0.5793280689475374,-0.06395627301465252,0.0,0,1,564,0.9406,0.7792392538546913,2,1,258,-0.5423,-1.0183918017706362,0.3424769230769231,0.6025607584931884,0.5384615384615384,0.8461538461538461,1754665.8461538462,0.5106,0.7924,0.5,2.0,2853582.0,0.11327499999999999,0.5,0.5,575.75,0.9080090114509958,1.3431466559804555,1.7076233228430189
03011050,9.9,0.0,31.2,2,0,11,0.4215,0.3179439074766325,0,22,25557,-0.128,-0.7682370587083852,0.1837333333333333,0.03234660443937487,1.6666666666666667,7.333333333333333,8631.0,0.2577,0.2577,3.0,0.0,325.0,-0.128,0.0,22.0,25557.0,0.5473329645498773,-0.7682370587083852,-0.7682370587083852,0,0,112,0.6908,0.0,2,1,258,-0.5423,-1.0183918017706362,0.16620000000000001,0.029145193500255077,0.9090909090909091,2.272727272727273,1038381.2727272727,0.2577,0.4684,1.6666666666666667,0.3333333333333333,361.0,-0.24916666666666668,0.6666666666666666,8.0,8793.0,0.4815349803246824,-0.09486666814029009,-0.2560790195694617
03011100,-11.3,9.9,9.9,5,0,230,0.9106,2.2413947549707935,2,1,4249,0.4588,1.2953921536271815,0.7114666666666666,2.0374811499157004,2.6666666666666665,0.3333333333333333,3799146.0,0.765,0.765,1.0,0.0,11392959.0,0.4588,2.0,1.0,4249.0,2.2413947549707935,1.2953921536271815,2.5756565411491255,5,0,230,0.9106,2.2413947549707935,2,1,258,-0.5423,-1.0183918017706362,0.3317545454545454,0.5187693870206794,1.5454545454545454,2.272727272727273,1038697.7272727273,0.4215,0.7114666666666666,2.6666666666666665,0.3333333333333333,3799146.0,-0.24916666666666668,0.6666666666666666,8.0,8793.0,1.361373291049284,0.15439960730138128,1.034270545355974
03011120,-5.7,-5.7,-16.9,0,0,11392959,0.7717,0.0,2,0,137,-0.2263,-0.3384794659001869,0.45816666666666667,0.9123875313362131,0.8888888888888888,0.2222222222222222,7595517.111111111,0.5719,0.5765666666666666,1.0,0.0,11392959.0,0.432,0.6666666666666666,0.0,7595351.666666667,0.8605978685479068,0.11576905554569707,1.941225760011173,5,0,230,0.9106,2.2413947549707935,2,0,137,-0.2263,-0.3384794659001869,0.48655714285714285,1.1668836665737545,1.6428571428571428,0.35714285714285715,6512913.285714285,0.5492999999999999,0.70835,2.0,0.0,8544776.75,0.34330000000000005,0.5,0.5,5696861.0,1.2229656604189643,0.6062045876034926,2.099833455295661
03011130,5.7,-5.7,-11.3,1,0,11392959,0.6249,2.1039578726327957,1,1,231,0.5106,0.7271789939970074,0.569825,1.1891626401486877,0.75,0.25,8544777.0,0.5719,0.6249,1.0,0.0,11392959.0,0.5719,0.0,0.0,11392959.0,2.1039578726327957,0.7271789939970074,2.1039578726327957,0,0,11392959,0.7717,0.0,2,0,137,-0.2263,-0.3384794659001869,0.46377999999999997,0.9987052295253475,1.2,0.3333333333333333,7597497.066666666,0.5719,0.5852999999999999,1.0,0.0,11392959.0,0.38902000000000003,0.4,0.4,6836080.6,1.018640806382823,0.41680020106010124,1.9706297693262524
03011140,-4.2,5.7,0.0,0,1,340,0.5106,0.38929933128411653,0,1,36003,-0.0772,-0.10588738470143574,0.18641666666666667,0.13149843599577524,0.16666666666666666,1.1666666666666667,6305.833333333333,0.15175,0.4847,0.0,1.0,340.0,-0.0772,0.0,1.0,18403.5,0.13001189292355309,0.2412951002040408,-0.08670833679164545,0,0,11392959,0.7717,0.0,2,0,137,-0.2263,-0.3384794659001869,0.39585789473684213,0.7240594188734378,0.631578947368421,0.5263157894736842,5398768.263157895,0.5106,0.5700666666666666,1.0,0.0,11392959.0,0.28558333333333336,0.3333333333333333,0.3333333333333333,5702636.833333333,0.923823727532846,0.18543790688494768,1.5905661145723737
03011150,0.0,-4.2,1.4,1,0,1090,0.765,1.108799228813654,0,1,340,-0.5423,-0.413468522043432,0.32316,0.7083650777870035,0.6,1.2,2279009.0,0.4588,0.4588,1.0,0.0,11392959.0,-0.5423,0.0,1.0,340.0,1.5447205504303512,0.7206402376005024,1.5447205504303512,1,0,1090,0.765,1.108799228813654,0,1,340,-0.5423,-0.413468522043432,0.33424000000000004,0.6058311043669613,0.4666666666666667,0.9333333333333333,3040799.2,0.4588,0.58624,1.0,0.2,6836039.6,-0.00952000000000001,0.0,1.0,2286089.2,1.482034067967751,0.45604292564637977,1.0936609464653317
