end,y,delta,delta_window,c_max_fa,c_max_re,c_max_fo,c_max,c_w_max,c_min_fa,c_min_re,c_min_fo,c_min,c_w_min,c_avg,c_w_avg,fa_avg,re_avg,fo_avg,c_med,c_big_c,c_big_fa,c_big_re,c_big_fo,c_small_c,c_small_fa,c_small_re,c_small_fo,fa_big_c,re_big_c,fo_big_c,c_max_fa_window,c_max_re_window,c_max_fo_window,c_max_window,c_w_max_window,c_min_fa_window,c_min_re_window,c_min_fo_window,c_min_window,c_w_min_window,c_avg_window,c_w_avg_window,fa_avg_window,re_avg_window,fo_avg_window,c_med_window,c_big_c_window,c_big_fa_window,c_big_re_window,c_big_fo_window,c_small_c_window,c_small_fa_window,c_small_re_window,c_small_fo_window,fa_big_c_window,re_big_c_window,fo_big_c_window
03011000,-93.4,-68.5,-47.1,0,1,2281,0.9253,0.9354354980020785,2,0,66,-0.4019,-0.5129737109789237,0.1603521739130435,0.551455586179649,3.8260869565217392,43.0,4533.782608695652,0.3182,0.5714285714285714,4.285714285714286,132.0,12047.142857142857,-0.37808571428571425,8.0,1.0,850.8571428571429,0.20135589769041426,1.3708023752122327,0.7645403175375058,0,1,2281,0.9253,0.9354354980020785,40,1,56370,-0.6908,-6.281193147024735,0.17186034482758622,0.4933656053463132,2.5689655172413794,48.96551724137931,3989.2413793103447,0.3182,0.5531421052631579,1.8421052631578947,122.3157894736842,4928.9473684210525,-0.21473157894736844,5.157894736842105,6.0,4942.526315789473,-0.09903867473763696,1.623139088449759,0.08753294192631535
03011010,-81.1,-93.4,-161.3,2,1,469,0.8748,1.8189683938797576,0,0,803,-0.6908,-0.0,0.21766470588235293,0.8033815644363448,0.35294117647058826,46.470588235294116,754.5882352941177,0.3182,0.5864,0.4,152.6,688.0,-0.1457,0.2,0.8,314.6,0.6758769629716904,1.8554126869857428,1.568081493691412,0,1,2281,0.9253,0.9354354980020785,0,0,803,-0.6908,-0.0,0.19493442622950818,0.6750254549698177,1.8032786885245902,54.49180327868852,2792.1639344262294,0.3612,0.509305,1.65,138.65,4711.3,-0.13732,2.9,23.75,1953.85,0.2571442203619601,1.6654746268341387,0.8969960184702668
03011020,-7.8,-81.1,-173.7,0,261,40,0.6369,2.4840356497496767,2,0,63,-0.8955,-1.1305379665133208,0.06265217391304348,0.2623775886376086,0.9130434782608695,54.78260869565217,726.3478260869565,0.1779,0.43672857142857147,1.4285714285714286,178.42857142857142,685.2857142857143,-0.37161428571428573,1.2857142857142858,1.4285714285714286,1298.857142857143,-0.24978865354995225,1.0200338957812656,-0.2117305342408071,0,1,2281,0.9253,0.9354354980020785,2,0,63,-0.8955,-1.1305379665133208,0.14014920634920636,0.5138992002573776,1.8253968253968254,48.23809523809524,2123.9841269841268,0.29600000000000004,0.5552666666666667,1.7142857142857142,141.9047619047619,4427.047619047619,-0.3148809523809524,3.1904761904761907,1.0,1276.4761904761904,0.03818884659194658,1.2761310747420769,0.5623900721116746
03011030,26.5,-7.8,-88.9,0,0,348,0.8689,0.0,2,0,619,-0.6597,-1.2876011612594669,0.06711724137931036,0.37784062993680956,2.0344827586206895,81.96551724137932,15165.724137931034,0.1531,0.6585666666666667,0.0,233.11111111111111,198.22222222222223,-0.6094222222222222,6.111111111111111,20.444444444444443,878.6666666666666,-1.4931219349398963,3.173996660671995,-1.0939735161444981,2,1,469,0.8748,1.8189683938797576,2,0,63,-0.8955,-1.1305379665133208,0.10272028985507248,0.4441963681485557,1.2463768115942029,64.15942028985508,6802.028985507246,0.2382,0.5800695652173913,0.2608695652173913,183.30434782608697,356.30434782608694,-0.43666086956521744,2.9130434782608696,8.608695652173912,874.3913043478261,-0.32309657621186794,1.5906206920566857,-0.10989997138825168
03011040,-28.5,26.5,18.7,0,85,2092,0.8519,5.472625133350115,16,11,105862,-0.7947,-6.562576414205443,0.03939696969696971,0.2899458535514181,3.484848484848485,61.484848484848484,29265.18181818182,0.25,0.5435818181818182,8.181818181818182,144.9090909090909,2780.909090909091,-0.606890909090909,2.090909090909091,34.90909090909091,84169.63636363637,-0.941972386997757,1.7256454840436668,0.7377532063315176,0,0,348,0.8689,0.0,2,0,63,-0.8955,-1.1305379665133208,0.055147058823529424,0.31247383498857967,2.2941176470588234,66.65882352941176,16732.50588235294,0.1779,0.5699571428571428,3.357142857142857,180.35714285714286,1188.642857142857,-0.555875,3.1785714285714284,20.642857142857142,33692.17857142857,-0.7291832209772093,2.0981670502587497,-0.0955515965244764
03011050,66.9,-28.5,-2.0,0,85,192,0.8519,3.766596686769919,0,11,1535,-0.7947,-2.7327298377340625,-0.07069166666666665,0.3693948220525706,0.0,67.0,54477.5,0.014550000000000007,0.49405,0.0,119.75,162368.0,-0.6790499999999999,0.0,15.75,960.0,0.3693948220525706,1.9634974290717873,1.3285683681499818,0,0,348,0.8689,0.0,16,11,105862,-0.7947,-6.562576414205443,0.032408108108108125,0.3372747202702044,2.3513513513513513,70.4054054054054,27828.202702702703,0.1655,0.599025,3.75,183.625,28393.583333333332,-0.6260791666666666,3.2916666666666665,26.291666666666668,39078.541666666664,-1.1486534674760593,2.386650150378161,-0.028542673485330888
03011100,67.5,66.9,38.3,0,3,27,0.7964,0.6938841680135898,0,11,632,-0.7947,-2.402554798730942,0.33024444444444445,0.9274541047827634,0.3333333333333333,54.111111111111114,10493.25925925926,0.5859,0.6272333333333333,0.7777777777777778,73.44444444444444,28840.11111111111,-0.18317777777777777,0.0,17.555555555555557,2417.1111111111113,2.137519394137186,1.3099091460123011,1.6197031862357218,0,85,192,0.8519,3.766596686769919,16,11,105862,-0.7947,-6.562576414205443,0.13011666666666669,0.5422529425133646,1.7222222222222223,59.638888888888886,26427.76388888889,0.3715,0.5748833333333333,4.041666666666667,124.29166666666667,39138.208333333336,-0.5609166666666666,0.9583333333333334,25.25,39113.166666666664,0.21283703092784656,1.5654287780023013,1.0569987728336814
03011110,-1.7,67.5,134.9,0,85,114,0.8519,3.3960284554314986,0,44,142,-0.6597,-2.3506618470760556,0.1858809523809524,0.8317668710429813,0.047619047619047616,126.38095238095238,2948.6666666666665,0.4019,0.5610857142857143,0.0,229.71428571428572,8035.571428571428,-0.5054285714285714,0.0,43.714285714285715,412.2857142857143,0.6928717215067084,2.86032559690673,0.8826308042909086,0,85,114,0.8519,3.3960284554314986,0,11,1535,-0.7947,-2.7327298377340625,0.19953,0.7823517164278011,0.16666666666666666,81.98333333333333,16649.5,0.4019,0.56206,0.3,168.3,47876.85,-0.400905,0.0,26.4,1435.9,1.7763574759795666,1.7699182060326426,1.2762157329886763
03011120,-75.1,-1.7,65.8,0,0,79,0.9219,0.0,2,1,4475,-0.4215,-1.1974581822394392,0.35886,1.0088647641869941,1.4,34.2,2330.0666666666666,0.4019,0.5664,3.2,76.4,3539.4,0.21002,0.4,16.2,1667.8,0.726925735290967,1.7505156778985707,1.3555609931805175,0,0,79,0.9219,0.0,0,11,632,-0.7947,-2.402554798730942,0.28893650793650794,0.9149418505371766,0.49206349206349204,73.46031746031746,6034.777777777777,0.4019,0.5795095238095238,1.0476190476190477,143.42857142857142,15568.666666666666,-0.15412857142857142,0.09523809523809523,25.952380952380953,562.2380952380952,1.193339842263678,1.356436021234513,1.5072760985908662
03011130,27.7,-75.1,-76.8,0,18,648,0.7378,2.6532527745953898,0,13,582,-0.6486,-2.055938939826759,0.28563333333333335,0.7937178914224363,0.9047619047619048,51.0,2057.0476190476193,0.4404,0.5182857142857143,1.8571428571428572,148.0,474.42857142857144,-0.1591,0.7142857142857143,2.142857142857143,1600.7142857142858,0.5347423868584485,1.728488083093945,0.6303580421125421,0,0,79,0.9219,0.0,0,44,142,-0.6597,-2.3506618470760556,0.26815263157894736,0.8643535346417313,0.7192982456140351,74.35087719298245,2457.3859649122805,0.4019,0.5477736842105263,1.3157894736842106,178.31578947368422,4034.0526315789475,-0.20511052631578944,0.3684210526315789,21.157894736842106,1268.3684210526317,0.6364738483867078,1.3410520232290473,0.8726909197763423
